Raw File	Protease	Protease first search	Use protease first search	Fixed modifications	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS on Polymers	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation	Mass Standard Deviation	Label free norm param
04112012_JL_HCC827_P85B_TAP_2_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5427	3380	4509	2243	0	2266	0	126	117	0	9	2.79	5.22	NaN	0.4	105	189838	2782	1.47	287	10.32	7885	1864	1501	23.64	24.97	216	11.59	+	0.3237	0.38953	
04112012_JL_HCC827ER_EGFR_TAP_1_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5439	3666	4910	2418	0	2492	0	145	133	0	12	2.95	5.5	NaN	0.48	122	181383	2936	1.62	329	11.21	8365	1977	1512	23.63	23.82	236	11.94	+	0.2903	0.44814	
04112012_JL_HCC827ER_EGFR_TAP_1_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5424	3398	4515	2267	0	2248	0	140	132	0	8	3.1	5.82	NaN	0.36	121	168594	2801	1.66	318	11.35	7751	1882	1467	24.28	24.26	227	12.06	+	0.31318	0.38112	
04112012_JL_HCC827ER_EGFR_TAP_2_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5331	1168	1677	647	0	1030	0	24	21	0	3	1.43	3.25	NaN	0.29	24	55578	747	1.34	164	21.95	899	401	113	44.61	51.13	94	23.44	+	0.24048	0.29952	
04112012_JL_HCC827ER_EGFR_TAP_2_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5324	1145	1695	591	0	1104	0	23	22	0	1	1.36	3.72	NaN	0.09	22	54871	724	1.32	157	21.69	809	362	115	44.75	51.34	84	23.2	+	0.49293	0.56631	
04112012_JL_HCC827ER_ERBB3_TAP_1_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5329	1160	1762	552	0	1210	0	9	7	0	2	0.51	1.27	NaN	0.17	9	57428	781	1.36	165	21.13	861	360	94	41.81	41.23	91	25.28	+	0.40999	0.4646	
04112012_JL_HCC827ER_ERBB3_TAP_1_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5322	1215	1821	607	0	1214	0	19	17	0	2	1.04	2.8	NaN	0.16	18	57432	808	1.41	187	23.14	917	396	98	43.18	39.36	114	28.79	+	0.24634	0.30999	
04112012_JL_HCC827ER_ERBB3_TAP_2_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5432	2932	4281	1579	0	2702	0	45	40	0	5	1.05	2.53	NaN	0.19	46	141708	2206	1.56	328	14.87	4789	1232	850	25.73	27.31	175	14.2	+	0.42434	0.48747	
04112012_JL_HCC827ER_ERBB3_TAP_2_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5434	2638	3766	1506	0	2260	0	38	36	0	2	1.01	2.39	NaN	0.09	37	128428	2076	1.62	281	13.54	4387	1202	830	27.4	28.62	172	14.31	+	0.53304	0.81406	
04112012_JL_HCC827ER_GRB2_TAP_1_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5387	1398	2113	675	0	1438	0	46	43	0	3	2.18	6.37	NaN	0.21	46	69487	1008	1.45	174	17.26	1228	509	230	41.45	43.07	88	17.29	+	0.26598	0.32961	
04112012_JL_HCC827ER_GRB2_TAP_1_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5381	1441	2097	777	0	1320	0	49	48	0	1	2.34	6.18	NaN	0.08	45	71204	1030	1.45	190	18.45	1305	551	258	42.22	43.88	111	20.15	+	0.23195	0.2948	
04112012_JL_HCC827ER_GRB2_TAP_2_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5420	3490	4697	2273	0	2424	0	114	110	0	4	2.43	4.84	NaN	0.17	101	170738	2710	1.59	373	13.76	7082	1752	1337	24.74	25.35	274	15.64	+	0.27403	0.35509	
04112012_JL_HCC827ER_P85B_TAP_1_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5397	1888	2828	942	0	1886	0	56	54	0	2	1.98	5.73	NaN	0.11	48	83254	1331	1.6	247	18.56	1865	683	361	36.62	38.9	120	17.57	+	0.2645	0.3449	
04112012_JL_HCC827ER_P85B_TAP_1_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5428	1865	2740	980	0	1760	0	46	46	0	0	1.68	4.69	NaN	0	43	85475	1356	1.59	227	16.74	1917	721	388	37.61	38.57	128	17.75	+	0.31637	0.40472	
04112012_JL_HCC827ER_P85B_TAP_2_run1	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5431	2046	2890	1190	0	1700	0	90	82	0	8	3.11	6.89	NaN	0.47	81	156590	1578	1.01	239	15.15	4611	962	654	20.86	19.93	130	13.51	+	0.30318	0.37689	
04112012_JL_HCC827ER_P85B_TAP_2_run2	Trypsin/P		False		Oxidation (M);Acetyl (Protein N-term)	Oxidation (M);Acetyl (Protein N-term)	False	1	2		Standard		5444	2151	2960	1328	0	1632	0	73	70	0	3	2.47	5.27	NaN	0.18	65	119809	1596	1.33	249	15.6	3272	992	663	30.32	31.36	159	16.03	+	0.2871	0.3577	
HCC827_EGFR_TAP_1_run1																												185																
HCC827_EGFR_TAP_1_run2																												164																
HCC827_EGFR_TAP_2_run1																												167																
HCC827_EGFR_TAP_2_run2																												165																
HCC827_ERBB3_TAP_1_run1																												70																
HCC827_ERBB3_TAP_1_run2																												65																
HCC827_ERBB3_TAP_2_run1																												67																
HCC827_ERBB3_TAP_2_run2																												74																
HCC827_GFP_TAP_1_run1																												28																
HCC827_GFP_TAP_1_run2																												24																
HCC827_GFP_TAP_2_run1																												21																
HCC827_GFP_TAP_2_run2																												28																
HCC827_GRB2_TAP_1_run1																												97																
HCC827_GRB2_TAP_1_run2																												105																
HCC827_GRB2_TAP_2_run1																												130																
HCC827_GRB2_TAP_2_run2																												136																
HCC827_P85B_TAP_1_run1																												128																
HCC827_P85B_TAP_1_run2																												109																
HCC827_P85B_TAP_2_run1																												108																
HCC827_P85B_TAP_2_run2																												105																
HCC827ER_EGFR_TAP_1_run1																												122																
HCC827ER_EGFR_TAP_1_run2																												121																
HCC827ER_EGFR_TAP_2_run1																												24																
HCC827ER_EGFR_TAP_2_run2																												22																
HCC827ER_ERBB3_TAP_1_run1																												9																
HCC827ER_ERBB3_TAP_1_run2																												18																
HCC827ER_ERBB3_TAP_2_run1																												46																
HCC827ER_ERBB3_TAP_2_run2																												37																
HCC827ER_GRB2_TAP_1_run1																												46																
HCC827ER_GRB2_TAP_1_run2																												45																
HCC827ER_GRB2_TAP_2_run1																												101																
HCC827ER_P85B_TAP_1_run1																												48																
HCC827ER_P85B_TAP_1_run2																												43																
HCC827ER_P85B_TAP_2_run1																												81																
HCC827ER_P85B_TAP_2_run2																												65																
Total													189307	85842	118776	52622	0	66154	0	3262	3078	0	184	2.75	5.85	NaN	0.28	574	4196304					147465	41136	28814	27.9	27.82	5863	14.25		0.31528	0.42001	
