Gene	SGD	UniProt	CC527	CC518	CC516	CC522	CC526	CC525	CC523	CC517	CC530	CC519	CC524	CC528	CC520	CC515	CC529	CC531	CC521
YER137C-A	S000007402	YD15A_YEAST;YE11A_YEAST;YL12A_YEAST;YP11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
GPM1	S000001635	PMG1_YEAST	8	89	227	2	6	3	2	63	70	3	3	6	2	174	2	48	5
CDC48	S000002284	CDC48_YEAST	4	1	6	0	4	2	0	3	49	1	0	0	0	3	0	45	0
RPN13	S000004413	RPN13_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RPS8B	S000000904	RS8A_YEAST;RS8B_YEAST	16	11	13	1	4	4	4	12	10	4	2	7	1	24	2	13	2
RPP1A	S000002239	RLA1_YEAST	2	15	27	0	0	0	0	8	1	0	0	2	0	18	0	2	0
RPP1B	S000002288	RLA3_YEAST	7	5	0	1	2	1	1	4	5	0	2	2	1	0	0	5	1
RPL23B	S000000919	RL23A_YEAST;RL23B_YEAST	10	28	40	0	0	0	0	14	3	0	0	6	0	37	2	12	0
RPL23A	S000000183	RL23A_YEAST;RL23B_YEAST	10	28	40	0	0	0	0	14	3	0	0	6	0	37	2	12	0
RPS9B	S000000393	RS9B_YEAST	15	21	26	3	6	4	2	25	12	1	2	3	2	15	2	10	3
RPS9A	S000006002	RS9A_YEAST	13	21	26	3	6	2	2	25	11	0	0	2	1	15	0	8	2
YHR214C-C	S000007421	YH11A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
YHR214C-B	S000003534	YH11B_YEAST	17	8	2	1	3	1	0	9	23	3	1	4	0	0	0	50	7
RPS8A	S000000168	RS8A_YEAST;RS8B_YEAST	16	11	13	1	4	4	4	12	10	4	2	7	1	24	2	13	2
CYS4	S000003387	CBS_YEAST	2	1	0	0	0	0	0	2	7	0	0	0	0	0	0	7	0
SSZ1	S000001106	SSZ1_YEAST	12	5	1	2	0	0	0	14	6	0	2	0	1	1	0	11	1
SAM1	S000004170	METK1_YEAST	4	4	2	1	1	3	0	4	36	1	0	5	0	0	2	37	1
RPT3	S000002802	PRS6B_YEAST	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	12	0
RPL19A	S000002156	RL19A_YEAST;RL19B_YEAST	46	12	76	3	4	5	2	9	8	2	0	4	2	90	1	13	2
DED1	S000005730	DED1_YEAST	9	25	0	20	38	34	12	13	89	37	12	96	27	0	62	106	21
SEC31	S000002354	SEC31_YEAST	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0
ATP2	S000003882	ATPB_YEAST	3	0	0	1	1	0	0	1	13	1	0	0	0	0	0	19	0
RPL15B	S000004728	RL15B_YEAST	13	10	28	7	4	2	4	10	15	3	3	6	4	13	3	16	1
RPL15A	S000004019	RL15A_YEAST	14	10	36	9	4	4	6	13	17	4	4	8	5	16	3	18	2
RPS0A	S000003446	RSSA1_YEAST	3	23	67	0	0	1	0	15	4	0	0	1	1	53	0	7	0
RPS0B	S000004038	RSSA2_YEAST	4	23	67	0	2	2	0	15	3	0	0	1	1	53	0	7	0
YPL257W-B	S000007358	YP11B_YEAST	16	8	2	1	3	1	0	9	28	3	1	6	0	0	0	58	7
YPL257W-A	S000007357	YD15A_YEAST;YE11A_YEAST;YL12A_YEAST;YP11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
ADE3	S000003436	C1TC_YEAST	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL34B	S000001314	RL34B_YEAST	5	6	8	1	3	4	0	3	2	1	1	3	0	4	2	1	1
RPL34A	S000002135	RL34A_YEAST	5	6	8	1	3	4	0	3	2	1	1	3	0	4	2	1	1
RPL43A	S000006247	RL43A_YEAST;RL43B_YEAST	10	4	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
ILV2	S000004714	ILVB_YEAST	2	0	0	0	4	5	0	0	27	0	0	1	0	0	0	35	0
DBP2	S000005056	DBP2_YEAST	5	0	0	10	13	15	6	0	18	9	11	33	10	0	23	35	7
DBP1	S000006040	DBP1_YEAST	1	4	0	2	7	8	1	0	17	5	2	12	3	0	11	19	3
SCP160	S000003616	SC160_YEAST	4	0	0	0	0	0	0	0	4	0	0	2	0	0	0	7	0
RPL33B	S000005760	RL33B_YEAST	6	2	9	1	2	2	1	3	4	1	0	2	1	4	2	11	0
RPL33A	S000006064	RL33A_YEAST	5	2	17	0	2	0	2	6	4	1	2	3	1	10	2	6	0
YDJ1	S000005008	MAS5_YEAST	8	0	1	1	2	6	0	0	26	1	0	3	1	0	2	39	0
SSC1	S000003806	HSP77_YEAST	10	0	21	0	0	0	0	12	13	1	0	2	1	8	0	15	0
HTB2	S000000098	H2B2_YEAST	1	11	84	1	2	2	2	6	2	3	2	4	2	161	4	11	4
RPS10B	S000004843	RS10B_YEAST	3	13	8	0	5	2	0	10	4	0	0	0	0	4	0	7	0
HTB1	S000002632	H2B1_YEAST	1	11	84	1	2	2	2	6	2	3	2	4	2	161	4	11	4
ACT1	S000001855	ACT_YEAST	5	10	54	1	4	2	0	12	14	1	0	1	2	36	0	19	1
RPL9A	S000003115	RL9A_YEAST	24	21	83	4	5	5	4	19	16	4	2	9	3	96	1	23	2
RPL9B	S000005011	RL9B_YEAST	21	20	83	3	3	5	3	19	8	4	0	6	3	96	1	14	2
HEF3	S000004959	EF3B_YEAST	4	0	6	0	0	0	0	10	7	0	0	2	0	1	0	4	0
RPS22A	S000003726	RS22A_YEAST	19	33	47	9	10	9	3	20	6	4	4	8	6	30	7	27	2
HSP82	S000006161	HSP82_YEAST	23	60	184	1	6	10	0	49	31	4	1	7	3	133	2	40	2
PAB1	S000000967	PABP_YEAST	15	2	2	6	9	7	6	14	37	6	7	10	9	1	2	54	2
RPS22B	S000004359	RS22B_YEAST	19	33	47	9	10	9	3	18	6	4	4	8	6	30	7	27	2
sp|CASK_BOVIN|	-	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR098C-B	S000007391	YD11B_YEAST	16	8	2	1	3	1	0	9	26	3	1	6	0	0	0	51	7
SUI3	S000006158	IF2B_YEAST	4	0	7	0	1	0	0	1	4	0	0	2	0	5	0	6	1
SUI2	S000003767	IF2A_YEAST	1	0	5	0	0	0	0	0	4	1	0	1	1	7	0	3	0
RPL35B	S000002295	RL35A_YEAST;RL35B_YEAST	9	2	1	1	0	0	0	3	5	1	0	1	1	0	2	11	1
RPG1	S000000283	EIF3A_YEAST	8	0	0	0	1	1	0	0	5	0	0	2	0	0	0	19	0
FKS1	S000004334	FKS1_YEAST	1	0	0	1	4	3	0	0	50	1	0	0	0	0	0	86	0
SPT5	S000004470	SPT5_YEAST	1	1	0	0	0	0	0	5	5	0	0	1	0	0	0	6	0
RPL27B	S000002879	RL27B_YEAST	24	67	105	3	9	6	3	28	18	4	2	4	4	200	4	17	3
RPL27A	S000001052	RL27A_YEAST	24	67	105	3	9	6	3	28	18	4	2	4	4	200	4	17	3
TUB2	S000001857	TBB_YEAST	2	3	0	0	2	0	0	2	26	3	0	2	0	2	0	24	1
YDR210C-C	S000007409	YD12A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	20	3
YDR210C-D	S000007410	YD12B_YEAST	16	8	2	1	3	1	0	9	27	3	1	6	0	0	0	55	7
RPP2A	S000005399	RLA2_YEAST	16	7	6	2	4	4	6	13	16	1	6	1	2	4	0	20	1
RPP2B	S000002790	RLA4_YEAST	14	1	12	2	3	6	6	10	20	2	4	4	2	7	2	14	2
RPL20B	S000005839	RL20A_YEAST;RL20B_YEAST	19	20	63	7	1	4	6	28	12	5	5	9	3	56	8	25	2
TIF2	S000003674	IF4A_YEAST	12	36	37	2	7	1	2	28	25	3	0	6	4	23	1	58	3
TIF1	S000001767	IF4A_YEAST	12	36	37	2	7	1	2	28	25	3	0	6	4	23	1	58	3
RPL20A	S000004855	RL20A_YEAST;RL20B_YEAST	19	20	63	7	1	4	6	28	12	5	5	9	3	56	8	25	2
CHS5	S000004322	CHS5_YEAST	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPS7A	S000005622	RS7A_YEAST	21	49	181	2	6	4	0	18	12	2	2	10	4	124	2	23	3
RPL43B	S000003855	RL43A_YEAST;RL43B_YEAST	10	4	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
RPS7B	S000005040	RS7B_YEAST	10	39	121	2	11	4	2	17	11	3	0	7	6	90	2	10	3
TEF2	S000000322	EF1A_YEAST	136	168	756	21	44	52	7	105	109	52	7	79	27	617	21	140	56
TEF1	S000006284	EF1A_YEAST	136	168	756	21	44	52	7	105	109	52	7	79	27	617	21	140	56
TEF4	S000001564	EF1G2_YEAST	14	15	18	4	4	7	0	19	17	3	0	2	3	2	0	22	3
MDN1	S000004096	MDN1_YEAST	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0
RPS31	S000004157	RS27A_YEAST	4	9	43	0	0	0	0	5	2	0	0	0	0	1	0	3	0
KAP123	S000000912	IMB4_YEAST	1	21	2	1	0	0	0	10	23	2	0	1	4	6	0	43	0
YDR170W-A	S000007227	YD17A_YEAST	1	1	0	1	1	1	0	0	3	2	1	1	0	0	0	3	1
YGR038C-A	S000007407	YG12A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
YGR038C-B	S000007408	YG12B_YEAST	16	8	2	1	3	1	0	9	26	3	1	6	0	0	0	51	7
YPR158C-D	S000007362	YP14B_YEAST	17	8	2	1	3	1	0	9	24	3	1	6	0	0	0	51	6
YPR158C-C	S000007361	YP14A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
YPR137C-B	S000007360	YN12B_YEAST;YP12B_YEAST	17	8	2	1	3	1	0	9	28	3	1	6	0	0	0	57	7
YPR137C-A	S000007359	YA11A_YEAST;YP12A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
HAS1	S000004903	HAS1_YEAST	2	0	28	5	8	2	1	0	20	13	4	15	18	46	13	27	11
RPS14A	S000000627	RS14A_YEAST	14	10	45	3	4	6	4	10	10	6	5	27	8	43	15	28	5
RPS4B	S000001246	RS4A_YEAST;RS4B_YEAST	26	21	87	7	4	6	7	17	22	8	2	11	12	138	8	29	7
RPS26A	S000003157	RS26A_YEAST	9	8	86	1	2	2	2	4	15	1	0	5	2	46	5	17	2
RPS26B	S000000933	RS26B_YEAST	9	8	86	1	2	2	2	4	15	1	0	5	2	46	5	17	2
RPL19B	S000000123	RL19A_YEAST;RL19B_YEAST	46	12	76	3	4	5	2	9	8	2	0	4	2	90	1	13	2
YMR045C	S000004648	YM13B_YEAST	2	1	0	1	1	1	0	0	15	2	1	1	0	0	0	32	5
ENO1	S000003486	ENO1_YEAST	14	169	473	2	11	7	0	108	49	0	0	4	1	403	1	30	0
ENO2	S000001217	ENO2_YEAST	27	315	1267	2	20	12	0	204	86	1	0	7	1	1164	1	59	1
PDA1	S000000980	ODPA_YEAST	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0
YNL054W-B	S000007385		13	8	2	1	3	1	0	9	20	3	1	4	0	0	0	46	6
YNL054W-A	S000007384	YN12A_YEAST	12	8	2	1	3	1	0	9	9	2	1	3	0	0	0	20	3
FOL2	S000003499	GCH1_YEAST	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	5	1
RPL4B	S000002419	RL4B_YEAST	59	38	63	9	10	10	6	35	30	10	3	22	14	51	7	46	10
RPL4A	S000000235	RL4A_YEAST	62	39	63	9	12	10	6	38	30	10	3	22	14	51	7	48	10
TCP1	S000002620	TCPA_YEAST	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0
sp|K1C15_SHEEP|	-	-	1	0	0	1	0	0	0	3	3	1	0	1	2	0	3	4	0
RPS4A	S000003906	RS4A_YEAST;RS4B_YEAST	26	21	87	7	4	6	7	17	22	8	2	11	12	138	8	29	7
YML039W	S000004503	YM12B_YEAST	17	8	2	1	3	1	0	9	28	3	1	6	0	0	0	58	7
RPS14B	S000003727	RS14B_YEAST	14	10	45	3	4	6	4	10	10	6	5	27	8	43	15	28	5
sp|TRYP_PIG|	-	-	3	188	22	116	4	3	0	60	15	6	2	12	8	37	12	24	44
BFR1	S000005724	BFR1_YEAST	2	0	0	0	0	2	2	0	1	1	0	2	1	0	0	5	3
BBC1	S000003557	BBC1_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML040W	S000004504	YJ11A_YEAST;YL13A_YEAST;YM12A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
YER138C	S000000940	YE11B_YEAST	17	8	2	1	3	1	0	9	28	3	1	6	0	0	0	58	7
VAS1	S000003326	SYV_YEAST	1	0	3	0	0	0	0	2	5	0	0	0	0	0	0	1	0
RLI1	S000002498	RLI1_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
YJR026W	S000003787	YJ11A_YEAST;YL13A_YEAST;YM12A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
CAM1	S000005969	EF1G1_YEAST	1	4	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1
PFK2	S000004818	K6PF2_YEAST	7	3	7	0	0	0	0	9	10	0	0	0	0	1	0	1	0
PFK1	S000003472	K6PF1_YEAST	17	1	10	0	0	0	0	7	27	0	0	0	0	1	0	38	0
RPL7A	S000003044	RL7A_YEAST	23	40	109	6	10	4	4	30	17	6	6	9	7	108	5	28	8
HSP60	S000004249	HSP60_YEAST	13	8	16	0	0	0	0	6	17	0	0	0	0	4	0	5	0
HYP2	S000000760	IF5A1_YEAST	4	14	32	0	0	0	0	5	7	0	0	2	0	12	0	4	0
GCN1	S000003163	GCN1_YEAST	3	15	0	1	1	1	0	6	28	0	0	0	0	0	0	52	0
STM1	S000004140	STM1_YEAST	15	0	4	6	5	3	5	3	37	2	2	4	4	2	1	38	4
ERG11	S000001049	CP51_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC28	S000001338	COPE_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ACC1	S000005299	ACAC_YEAST	2	0	0	0	0	1	0	0	14	0	0	0	0	0	0	49	0
RPS21A	S000001765	RS21A_YEAST	2	5	2	0	0	0	0	5	5	0	0	0	0	0	0	3	0
RPS21B	S000003672	RS21B_YEAST	2	6	2	0	0	0	0	2	5	0	0	0	0	0	0	3	0
BMH2	S000002506	BMH2_YEAST	2	13	5	0	0	0	0	15	13	0	0	0	0	2	0	10	1
BMH1	S000000979	BMH1_YEAST	2	13	5	0	0	0	0	18	14	0	0	0	0	2	0	11	1
sp|CAS1_BOVIN|	-	-	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
YPR158W-A	S000007363	YO12A_YEAST;YP13A_YEAST	14	7	2	1	3	1	0	9	10	2	1	3	0	0	0	20	3
YPR158W-B	S000007364	YP13B_YEAST	15	7	2	1	3	1	0	9	28	3	1	6	0	0	0	56	7
RPL1A	S000006141	RL1A_YEAST;RL1B_YEAST	12	10	2	8	3	2	6	9	15	2	3	4	11	0	3	18	2
RPL1B	S000003103	RL1A_YEAST;RL1B_YEAST	12	10	2	8	3	2	6	9	15	2	3	4	11	0	3	18	2
MPP10	S000003762	MPP10_YEAST	2	0	0	6	9	0	3	0	22	11	12	18	11	2	12	29	6
RPL24B	S000003380	RL24B_YEAST	12	7	37	0	0	0	0	10	5	0	0	0	0	47	0	7	0
RPL24A	S000002999	RL24A_YEAST	12	8	37	0	0	0	0	10	5	0	0	0	0	47	0	7	0
FPR3	S000004539	FKBP3_YEAST	2	0	53	1	2	1	2	0	2	0	1	2	1	9	3	2	1
GUS1	S000003214	SYEC_YEAST	5	1	6	0	0	0	0	2	1	0	0	1	0	0	0	5	0
ADH1	S000005446	ADH1_YEAST	17	123	635	0	0	0	0	91	43	1	0	2	1	463	0	41	1
RPL10	S000004065	RL10_YEAST	21	24	18	0	2	3	3	18	6	2	3	1	2	9	0	19	1
RPS10A	S000005819	RS10A_YEAST	3	10	8	0	5	2	0	10	4	0	0	0	0	4	0	7	0
YGR027W-B	S000007406	YG11B_YEAST	17	8	2	1	3	1	0	9	26	3	1	5	0	0	0	55	6
sp|K1C9_HUMAN|	-	-	1	7	4	5	10	2	0	16	17	6	0	24	1	0	4	33	4
DPS1	S000003941	SYDC_YEAST	9	0	0	0	0	0	0	0	8	1	0	0	0	0	0	6	0
URA2	S000003666	PYR1_YEAST	11	0	4	1	22	3	0	4	159	1	0	0	2	0	1	272	2
PYK2	S000005874	KPYK2_YEAST	4	8	24	0	2	1	0	2	5	0	0	1	0	19	0	1	0
ASC1	S000004722	GBLP_YEAST	5	18	16	0	2	1	0	27	8	0	0	1	0	10	0	6	0
RPL14A	S000001489	RL14A_YEAST	23	24	51	4	5	2	0	22	3	6	2	4	4	47	1	7	4
RPL14B	S000000993	RL14B_YEAST	23	24	51	4	5	2	0	22	3	5	2	4	4	47	1	7	4
FRS2	S000001872	SYFA_YEAST	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
TSA1	S000004490	TSA1_YEAST	10	15	58	0	0	0	0	19	10	0	0	0	0	43	0	5	0
FBA1	S000001543	ALF_YEAST	10	108	162	0	0	2	0	65	18	0	0	1	0	118	0	6	0
CDC19	S000000036	KPYK1_YEAST	50	185	555	2	6	4	0	114	95	4	2	7	1	363	1	54	1
YBR012W-B	S000002155	YB12B_YEAST	15	7	2	1	3	1	0	9	21	3	1	3	0	0	0	46	7
YBR012W-A	S000002154	YB12A_YEAST	14	7	2	1	3	1	0	9	10	2	1	3	0	0	0	20	3
CLU1	S000004614	TIF31_YEAST	6	0	0	2	2	2	4	0	5	1	0	1	1	6	0	3	0
PGK1	S000000605	PGK_YEAST	13	167	444	1	0	2	0	121	102	2	0	9	0	311	0	26	0
SEC13	S000004198	SEC13_YEAST	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	3	0
UBA1	S000001693	UBA1_YEAST	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWP1	S000004186	PWP1_YEAST	1	0	0	14	7	0	1	0	22	7	3	24	18	0	18	25	15
YOR142W-B	S000007352	YO12B_YEAST	15	7	2	1	3	1	0	9	26	3	1	5	0	0	0	53	7
YNL284C-A	S000007386	YN11A_YEAST	1	0	0	0	2	0	0	1	3	2	0	2	0	0	0	8	1
YNL284C-B	S000007387	YN11B_YEAST	2	0	0	0	2	0	0	1	12	2	0	2	0	0	0	31	4
YOR142W-A	S000007351	YO12A_YEAST;YP13A_YEAST	14	7	2	1	3	1	0	9	10	2	1	3	0	0	0	20	3
YAR075W	S000002145	YA075_YEAST	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0
RPA190	S000005868	RPA1_YEAST	1	0	1	16	2	0	3	0	58	5	1	21	15	0	9	78	13
YBL005W-A	S000002146	YB11A_YEAST	1	1	0	1	1	1	0	0	3	1	1	1	0	0	0	3	1
YBL005W-B	S000002147	YB11B_YEAST	2	1	0	1	1	1	0	0	15	2	1	1	0	0	0	32	5
YMR046C	S000004649	YM13A_YEAST	1	1	0	1	1	1	0	0	3	1	1	1	0	0	0	3	1
RPL18A	S000005480	RL18A_YEAST;RL18B_YEAST	20	10	27	2	0	1	2	11	7	3	2	3	6	30	4	13	3
RPL18B	S000005245	RL18A_YEAST;RL18B_YEAST	20	10	27	2	0	1	2	11	7	3	2	3	6	30	4	13	3
RPS5	S000003884	RS5_YEAST	33	28	31	5	10	10	9	30	24	10	6	7	10	22	11	39	6
RPS3	S000005122	RS3_YEAST	49	28	38	7	12	6	5	29	24	5	5	15	5	18	9	27	6
RPS25A	S000003259	RS25A_YEAST	7	10	10	1	3	2	0	9	12	3	0	5	1	37	2	13	3
RPS25B	S000004325	RS25B_YEAST	7	10	10	1	3	2	0	9	12	3	0	5	1	37	2	13	3
YLR035C-A	S000007225		1	0	0	0	0	0	0	0	8	1	0	0	0	0	0	18	3
RPL13A	S000002240	RL13A_YEAST	21	14	24	3	3	5	4	11	10	5	3	9	5	8	5	14	2
